,poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud,zona
156,Valle de Trpaga-Trapagaran,2006-11-02,12:07:12,Blanco,A-8,133,133,IRUN,-3.08903,43.3294,34
157,Bilbao,2006-11-01,23:10:28,Blanco,A-8,111,111,CANTABRIA,-2.883459,43231.0,45
158,Bilbao,2006-10-31,22:15:38,Blanco,A-8,111,111,IRUN,-2.88343,43.2309,3
159,Bilbao,2006-10-31,11:06:31,Blanco,A-8,118,118,CANTABRIA,-2.95336,43.25788,19
160,Mungia,2006-10-31,08:48:22,Blanco,BI-631,13,13,Bermeo,-2.87782,43.31449,15
161,Arrigorriaga,2006-10-31,08:16:28,Blanco,AP-68,18,18,ZARAGOZA,-2.915516,43.10396,31
162,Bilbao,2006-10-30,21:12:50,Blanco,A-8,111,113,CANTABRIA,-2.883459,43231.0,45
163,Berango,2006-10-30,11:19:40,Blanco,BI-637,15,15,KURTXES(BERANGO),-2.99255,43.34514,9
164,Abanto y Cirvana-Abanto Zierbena,2006-10-30,11:02:33,Blanco,A-8,138,139,CANTABRIA,-3.13918,43.34282,35
165,Arrigorriaga,2006-10-30,07:48:40,Blanco,AP-68,14,16,ZARAGOZA,-2.932773,43.13461,48
166,Alonsotegi,2006-10-30,09:29:31,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061,28
167,,2006-10-28,07:42:27,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767,8
168,Sondika,2006-10-27,08:55:16,Blanco,BI-637,15,15,KURTXES(BERANGO),-2.99255,43.34514,9
169,Bilbao,2006-10-27,08:49:00,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061,28
170,Bilbao,2006-10-27,07:57:07,Blanco,AP-68,5,5,BILBAO,-2.894915,43.19935,27
171,Basauri,2006-10-26,22:31:34,Amarillo,A-8,111,111,IRUN,-2.88343,43.2309,3
172,Barakaldo,2006-10-27,00:36:26,Amarillo,A-8,121,121,CANTABRIA,-2.978033,43.27476,7
173,Santurtzi,2006-10-27,00:26:16,Blanco,A-8,136,136,IRUN,-3.11643,43.33947,23
174,,2006-10-26,10:26:59,Blanco,AP-68,13,13,ZARAGOZA,-2.93714,43.14311,48
175,Arrigorriaga,2006-10-26,10:26:59,Blanco,AP-68,6,6,ZARAGOZA,-2.89627,43.19152,27
176,,2006-10-26,12:53:20,Blanco,BI-3717,1,1,ETXEBARRI,-2.89892,43.24607,17
177,Bilbao,2006-10-26,08:45:18,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747,7
178,Galdakao,2006-10-26,00:54:22,Amarillo,A-8,102,102,CANTABRIA,-2.78167,43.23172,26
179,Derio,2006-10-26,00:35:35,Blanco,N-633,9,9,AEROPUERTO DE LOIU,-2.88083,43.28849,15
180,Barakaldo,2006-10-26,00:29:26,Blanco,A-8,120,120,IRUN,-2.96792,43.27208,7
181,Bilbao,2006-10-26,00:28:07,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
182,,2006-10-25,09:16:18,Blanco,AP-68,13,13,ZARAGOZA,-2.93714,43.14311,48
183,Getxo,2006-10-25,09:43:34,Blanco,BI-637,15,15,KURTXES(BERANGO),-2.99255,43.34514,9
